time_us         delay   reading
80368226        118     20
80369404        117     21
80370581        117     24
80371758        120     23
80372936        116     23
80374113        117     21
80375290        117     24
80376467        118     22
80377645        114     23
80378822        115     24
80380000        119     21
80381177        118     23
80382354        117     22
80383533        119     22
80384709        116     22
80385886        120     25
80387064        119     21
80388241        117     24
80389419        117     25
80390596        118     23
80391773        120     22
80392951        119     22
80394129        117     22
80395306        116     20
80396483        118     23
80397660        122     23
80398838        117     23
80400015        118     23
80401193        117     23
80402370        117     23
80403548        117     24
80404725        118     21
80405903        115     24
80407080        121     22
80408258        118     25
80409435        117     24
80410613        118     24
80411790        117     23
80412968        116     23
80414146        117     23
80415322        116     23
80416500        118     22
80417677        118     23
80418855        119     22
80420032        119     23
80421210        121     21
80422387        118     22
80423564        121     23
80424742        121     22
80425920        117     22
80427097        117     24
80428274        117     23
80429452        120     23
80430630        117     21
80431808        118     23
80432985        118     23
80434162        117     21
80435339        119     22
80436517        121     23
80437694        120     23
80438872        122     23
80440049        122     22
80441227        119     21
80442404        118     22
80443581        116     23
80444759        118     23
80445936        118     24
80447114        121     22
80448291        119     22
80449469        115     24
80450646        115     22
80451824        124     24
80453001        120     23
80454179        118     22
80455356        118     22
80456534        121     22
80457711        120     22
80458889        119     23
80460066        118     23
80461244        120     22
80462421        119     23
80463598        115     23
80464776        119     22
80465953        120     24
80467131        119     21
80468308        119     23
80469486        119     23
80470664        116     23
80471840        117     23
80473018        118     24
80474195        118     21
80475373        118     23
80476550        117     23
80477728        115     24
80478905        116     23
80480083        120     23
80481260        118     22
80482438        117     23
80483616        118     23
80484793        119     22
80485970        116     21
80487147        116     23
80488324        118     22
80489502        122     24
80490679        116     26
80491857        119     24
80493034        118     23
80494211        119     24
80495389        120     24
80496566        119     23
80497744        117     21
80498921        117     22
80500098        118     22
80501276        117     25
80502454        117     24
80503630        116     23
80504808        117     22
80505985        118     23
80507162        120     21
80508340        117     23
80509517        117     23
80510695        122     21
80511872        119     23
80513049        115     23
80514227        125     24
80515404        116     23
80516582        120     23
80517759        119     23
80518937        116     21
80520114        116     22
80521292        118     23
80522469        122     24
80523647        121     24
80524824        118     21
80526001        121     22
80527179        123     22
80528357        119     22
80529534        117     23
80530711        117     24
80531889        118     23
80533066        117     22
80534244        115     22
80535421        116     22
80536598        123     24
80537775        118     22
80538952        123     22
80540130        118     22
80541307        119     24
80542484        116     22
80543661        117     22
80544839        117     22
80546016        117     23
80547194        118     24
80548371        118     22
80549549        118     22
80550726        116     22
80551903        116     21
80553080        117     22
80554258        117     22
80555436        119     23
80556613        119     23
80557791        120     23
80558968        118     23
80560145        117     22
80561322        120     22
80562500        119     23
80563678        118     22
80564855        117     25
80566032        118     23
80567210        123     23
80568387        116     23
80569564        117     23
80570742        117     22
80571919        115     24
80573096        118     22
80574273        121     22
80575451        122     22
80576629        119     22
80577806        118     24
80578983        117     24
80580160        121     23
80581338        118     23
80582515        119     23
80583692        116     23
